"Model","R_Squared","Adj_R_Squared","Residual_SE","Num_predictors"
"Points (Full)",0.841196546229133,0.767902644488732,9.11327401059058,6
"Goals (Full)",0.9715821029344,0.958466150442585,3.10036197609814,6
"Goals (Reduced: xG + SCA)",0.930064291347597,0.921836560917903,4.2531738881365,2
